Serotype	Coverage
07B	99.9906725119
40	93.6260751471
07C	90.0091911765
19F	70.0994999747
24B	67.6189681778
24F	61.7272200612
48	61.1113629153
01	59.036198891
24A	56.9974438561
16F	56.9546597151
19B	55.2253338279
19A	55.2240802676
07F	54.0326591512
23A	53.892717452
07A	53.7177352206
18A	52.0383817427
16A	50.7845934379
18B	49.8174481168
18C	49.8174481168
19C	48.5741036945
32A	48.5476687818
32F	48.5451821479
03	48.5296962662
06B	47.1566161585
06A	46.9639352306
06C	46.7806338907
13	45.101027204
14	45.0554134697
27	44.9145808502
22F	44.4256756757
21	44.4092331768
45	44.0308785155
17F	42.9313883915
28A	42.582357805
41A	41.6322543404
06D	41.5601973907
36	41.5559275923
02	40.9406397127
06E	40.690576116
22A	40.6338526912
29	40.3192687289
18F	40.1740427648
28F	39.5924908425
35B	39.168017288
23B	38.8623741756
33B	38.025210084
11B	37.6339050518
25A	37.2501492957
25F	37.0940471997
09L	36.9260457461
09N	36.7536889898
15B	36.6389261745
15C	36.6349922156
04	36.3184792473
31	35.9530791789
23F	35.7967418276
41F	35.6139279169
17A	35.4627354627
35F	35.4472189193
11C	35.0779690282
05	34.8823234852
47F	34.7774665422
12A	33.9383877513
33D	33.0698362147
08	33.0588660166
20	32.8012684989
09A	32.1680705
10F	30.5455134085
35A	30.5255311219
33A	29.9402498642
10A	29.8189809728
15F	29.2064625547
44	29.1417662683
10C	29.0119710928
43	28.9302199294
46	28.5788361055
34	28.2577326056
12F	28.1845325708
10B	27.8837099812
12B	27.7561882234
09V	26.451551038
15A	26.1313316773
23B1	25.2041471695
47A	25.0884006724
11A	24.0904785782
35C	23.9742680579
33F	23.8787522072
11D	22.7721621936
42	22.5314368172
39	22.4973331088
33C	22.1496325146
11F	18.6329532699
38	7.41507156406
37	0.0
